timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1684266539980,661,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-27,text,true,,337,133,27,27,http://193.225.250.30/io/1/dir_path/250,661,0,4
1684266539981,688,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-28,text,true,,337,133,25,25,http://193.225.250.30/io/1/dir_path/250,688,0,9
1684266540277,395,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-18,text,true,,337,133,24,24,http://193.225.250.30/io/1/dir_path/250,395,0,4
1684266539981,696,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-31,text,true,,337,133,23,23,http://193.225.250.30/io/1/dir_path/250,695,0,9
1684266540276,407,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-37,text,true,,337,133,22,22,http://193.225.250.30/io/1/dir_path/250,407,0,5
1684266540688,631,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-40,text,true,,337,133,21,21,http://193.225.250.30/io/1/dir_path/250,631,0,6
1684266540688,661,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-39,text,true,,337,133,20,20,http://193.225.250.30/io/1/dir_path/250,661,0,4
1684266540688,697,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,337,133,19,19,http://193.225.250.30/io/1/dir_path/250,697,0,4
1684266540689,723,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-42,text,true,,337,133,18,18,http://193.225.250.30/io/1/dir_path/250,723,0,5
1684266541098,334,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-49,text,true,,337,133,17,17,http://193.225.250.30/io/1/dir_path/250,334,0,4
1684266541441,157,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-48,text,true,,337,133,16,16,http://193.225.250.30/io/1/dir_path/250,157,0,4
1684266541441,184,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-46,text,true,,337,133,15,15,http://193.225.250.30/io/1/dir_path/250,184,0,4
1684266541441,189,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-45,text,true,,337,133,14,14,http://193.225.250.30/io/1/dir_path/250,189,0,4
1684266541440,203,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-43,text,true,,337,133,13,13,http://193.225.250.30/io/1/dir_path/250,203,0,4
1684266541956,188,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-11,text,true,,337,133,12,12,http://193.225.250.30/io/1/dir_path/250,188,0,4
1684266541956,206,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-35,text,true,,337,133,11,11,http://193.225.250.30/io/1/dir_path/250,206,0,4
1684266541956,239,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-38,text,true,,337,133,10,10,http://193.225.250.30/io/1/dir_path/250,239,0,4
1684266541956,247,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-25,text,true,,337,133,9,9,http://193.225.250.30/io/1/dir_path/250,247,0,4
1684266542622,378,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-44,text,true,,337,133,8,8,http://193.225.250.30/io/1/dir_path/250,378,0,4
1684266542622,378,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-50,text,true,,337,133,8,8,http://193.225.250.30/io/1/dir_path/250,378,0,3
1684266542621,430,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-41,text,true,,337,133,6,6,http://193.225.250.30/io/1/dir_path/250,430,0,4
1684266542622,443,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-4,text,true,,337,133,5,5,http://193.225.250.30/io/1/dir_path/250,443,0,3
1684266542623,473,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-47,text,true,,337,133,4,4,http://193.225.250.30/io/1/dir_path/250,473,0,3
1684266542827,282,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-6,text,true,,337,133,3,3,http://193.225.250.30/io/1/dir_path/250,282,0,4
1684266542622,490,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-36,text,true,,337,133,2,2,http://193.225.250.30/io/1/dir_path/250,490,0,3
1684266542826,293,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-19,text,true,,337,133,1,1,http://193.225.250.30/io/1/dir_path/250,293,0,4
1684266543121,58,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-19,text,true,,336,133,1,1,http://193.225.250.30/io/1/dir_path/250,58,0,4
1684266543180,57,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-19,text,true,,336,133,1,1,http://193.225.250.30/io/1/dir_path/250,57,0,3
1684266543238,57,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-19,text,true,,336,133,1,1,http://193.225.250.30/io/1/dir_path/250,57,0,4
1684266543397,69,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-19,text,true,,336,133,1,1,http://193.225.250.30/io/1/dir_path/250,69,0,11
1684266543467,58,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-19,text,true,,336,133,1,1,http://193.225.250.30/io/1/dir_path/250,58,0,4
1684266543526,57,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-19,text,true,,336,133,1,1,http://193.225.250.30/io/1/dir_path/250,57,0,5
1684266543685,68,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-19,text,true,,336,133,1,1,http://193.225.250.30/io/1/dir_path/250,68,0,4
1684266543754,56,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-19,text,true,,336,133,1,1,http://193.225.250.30/io/1/dir_path/250,56,0,4
1684266543811,59,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-19,text,true,,336,133,1,1,http://193.225.250.30/io/1/dir_path/250,59,0,5
1684266543972,65,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-19,text,true,,336,133,1,1,http://193.225.250.30/io/1/dir_path/250,65,0,4
1684266544039,60,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-19,text,true,,336,133,1,1,http://193.225.250.30/io/1/dir_path/250,60,0,4
1684266544117,63,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-51,text,true,,336,133,2,2,http://193.225.250.30/io/1/dir_path/250,63,0,6
1684266544218,65,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-19,text,true,,336,133,2,2,http://193.225.250.30/io/1/dir_path/250,65,0,6
1684266544319,66,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-51,text,true,,336,133,2,2,http://193.225.250.30/io/1/dir_path/250,66,0,8
1684266544420,65,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-19,text,true,,336,133,2,2,http://193.225.250.30/io/1/dir_path/250,65,0,8
1684266544522,73,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-51,text,true,,336,133,2,2,http://193.225.250.30/io/1/dir_path/250,73,0,10
1684266544623,69,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-19,text,true,,336,133,2,2,http://193.225.250.30/io/1/dir_path/250,69,0,9
1684266544724,64,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-51,text,true,,336,133,2,2,http://193.225.250.30/io/1/dir_path/250,64,0,4
1684266544826,67,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-19,text,true,,336,133,2,2,http://193.225.250.30/io/1/dir_path/250,67,0,5
1684266544927,71,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-51,text,true,,336,133,2,2,http://193.225.250.30/io/1/dir_path/250,71,0,9
1684266545028,70,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-19,text,true,,336,133,2,2,http://193.225.250.30/io/1/dir_path/250,70,0,8
1684266545129,61,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-51,text,true,,336,133,2,2,http://193.225.250.30/io/1/dir_path/250,61,0,4
1684266545231,58,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-19,text,true,,336,133,2,2,http://193.225.250.30/io/1/dir_path/250,58,0,4
1684266545332,73,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-51,text,true,,336,133,2,2,http://193.225.250.30/io/1/dir_path/250,73,0,4
1684266545406,56,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-51,text,true,,336,133,2,2,http://193.225.250.30/io/1/dir_path/250,56,0,4
1684266545508,60,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-19,text,true,,336,133,2,2,http://193.225.250.30/io/1/dir_path/250,60,0,4
1684266545609,58,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-51,text,true,,336,133,2,2,http://193.225.250.30/io/1/dir_path/250,58,0,4
1684266545710,61,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-19,text,true,,336,133,2,2,http://193.225.250.30/io/1/dir_path/250,61,0,4
1684266545812,67,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-51,text,true,,336,133,2,2,http://193.225.250.30/io/1/dir_path/250,67,0,9
1684266545913,60,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-19,text,true,,336,133,2,2,http://193.225.250.30/io/1/dir_path/250,60,0,4
1684266546014,58,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-51,text,true,,336,133,2,2,http://193.225.250.30/io/1/dir_path/250,58,0,5
1684266546116,66,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-19,text,true,,336,133,2,2,http://193.225.250.30/io/1/dir_path/250,66,0,4
1684266546217,69,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-51,text,true,,336,133,2,2,http://193.225.250.30/io/1/dir_path/250,69,0,4
1684266546318,62,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-19,text,true,,336,133,2,2,http://193.225.250.30/io/1/dir_path/250,62,0,4
1684266546419,64,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-51,text,true,,336,133,2,2,http://193.225.250.30/io/1/dir_path/250,64,0,5
1684266546521,57,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-19,text,true,,336,133,2,2,http://193.225.250.30/io/1/dir_path/250,57,0,3
1684266546622,59,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-51,text,true,,336,133,2,2,http://193.225.250.30/io/1/dir_path/250,59,0,4
1684266546723,60,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-19,text,true,,336,133,2,2,http://193.225.250.30/io/1/dir_path/250,60,0,4
1684266546825,58,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-51,text,true,,336,133,2,2,http://193.225.250.30/io/1/dir_path/250,58,0,3
1684266546926,61,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-19,text,true,,336,133,2,2,http://193.225.250.30/io/1/dir_path/250,61,0,4
1684266547027,59,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-51,text,true,,336,133,2,2,http://193.225.250.30/io/1/dir_path/250,59,0,4
1684266547128,60,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-19,text,true,,336,133,2,2,http://193.225.250.30/io/1/dir_path/250,60,0,4
1684266547230,65,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-51,text,true,,336,133,2,2,http://193.225.250.30/io/1/dir_path/250,65,0,3
1684266547331,63,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-19,text,true,,336,133,2,2,http://193.225.250.30/io/1/dir_path/250,63,0,4
1684266547432,82,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-51,text,true,,336,133,2,2,http://193.225.250.30/io/1/dir_path/250,82,0,4
