time,response_time_p95,response_time,worker_number,request_rate,CPU0User%,CPU0Idle%,CPU0Total%,CPU1User%,CPU1Idle%,CPU1Total%,[DSK:sda]Reads,[DSK:sda]RMerge,[DSK:sda]RKBytes,[DSK:sda]WaitR,[DSK:sda]Writes,[DSK:sda]WMerge,[DSK:sda]WKBytes,[DSK:sda]WaitW,[DSK:sda]Request,[DSK:sda]QueLen,[DSK:sda]Wait,[DSK:sda]SvcTim,[DSK:sda]Util,[NUMA:0]Used,[NUMA:0]Free,[NUMA:0]Slab,[NUMA:0]Mapped,[NUMA:0]Anon,[NUMA:0]AnonH,[NUMA:0]Inactive,[NUMA:0]Hits,[TCPD]InReceives,[TCPD]InDelivers,[TCPD]OutRequests,[TCPD]InSegs,[TCPD]OutSegs
20:38:5,1058.0447499999996,446.4949296874997,7,38.4,95.8,1.9,98.1,0.0,108.0,0.7,0.3,909147.2,95564.8,84257.2,48340.0,702363.2,0.0,28250.0,100.0,0.0,0.0,32.1,0.0,0.0,0.0,0.0,0.0,32.1,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20:39:0,225.119,168.56509141274236,7,36.1,89.0,9.8,90.2,0.0,10.0,0.9,0.2,907351.6,97360.4,84195.2,47999.6,700880.4,0.0,28252.0,100.0,0.0,0.0,30.5,0.0,0.0,0.0,0.0,0.0,30.5,30.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20:39:1,267.16459999999995,171.44393577981648,6,32.7,90.5,7.8,92.2,0.0,9.6,1.1,0.7,909017.6,95694.4,84320.0,48016.8,701614.4,0.0,28735.2,100.0,0.0,0.0,33.8,0.0,0.0,0.0,0.0,0.0,33.8,33.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20:39:2,278.96395,181.45532394366205,5,28.4,93.4,5.1,94.8,0.0,6.0,0.8,0.3,908841.6,95870.4,84356.8,48060.8,701488.4,0.0,28728.8,100.0,0.0,0.0,35.9,0.0,0.0,0.0,0.0,0.0,35.9,35.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20:39:3,292.9365,199.9785843621398,4,24.3,95.4,3.5,96.5,0.0,110.8,8.7,1.9,908931.2,95780.8,84381.6,48072.8,701539.6,0.0,28736.0,100.0,0.0,0.0,34.2,0.0,0.0,0.0,0.0,0.0,34.2,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20:39:4,384.75779999999986,247.1111902439025,3,20.5,98.8,0.4,99.6,0.0,11.2,0.6,0.2,908991.6,95720.4,84400.0,48080.8,701550.4,0.0,28734.8,100.0,0.0,0.0,36.3,0.0,0.0,0.0,0.0,0.0,36.3,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20:39:5,250.99155,165.06751764705882,3,17.0,86.8,12.0,88.0,0.0,13.1,0.6,0.3,908347.6,96364.4,84412.4,48087.6,700945.2,0.0,28732.4,100.0,0.0,0.0,32.3,0.0,0.0,0.0,0.0,0.0,32.3,32.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20:40:0,359.03929999999997,248.503157480315,2,12.7,97.2,1.5,98.5,0.0,8.0,0.7,0.3,908482.8,96229.2,84409.2,48099.6,700904.4,0.0,28864.0,100.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,36.0,35.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20:40:1,267.39639999999986,161.1798924731183,2,9.3,74.2,24.2,75.8,0.0,110.4,0.4,0.3,909240.8,95471.2,84449.2,48113.6,701546.8,0.0,28887.6,100.0,0.0,0.0,26.8,0.0,0.0,0.0,0.0,0.0,26.8,26.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20:40:2,194.116,156.49253571428562,1,5.6,80.5,18.0,81.9,0.0,4.8,0.4,0.1,908511.6,96200.4,84462.4,48119.6,700872.4,0.0,28888.4,100.0,0.0,0.0,29.4,0.0,0.0,0.0,0.0,0.0,29.4,29.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
