time, response_time_p95, response_time, worker_number, request_rate,CPU0User%, CPU0Idle%, CPU0Total%, CPU1User%, CPU1Idle%, CPU1Total%,[DSK:sda]Reads, [DSK:sda]RMerge, [DSK:sda]RKBytes, [DSK:sda]WaitR, [DSK:sda]Writes, [DSK:sda]WMerge, [DSK:sda]WKBytes, [DSK:sda]WaitW, [DSK:sda]Request, [DSK:sda]QueLen, [DSK:sda]Wait, [DSK:sda]SvcTim, [DSK:sda]Util,[NUMA:0]Used, [NUMA:0]Free, [NUMA:0]Slab, [NUMA:0]Mapped, [NUMA:0]Anon, [NUMA:0]AnonH, [NUMA:0]Inactive, [NUMA:0]Hits,[TCPD]InReceives, [TCPD]InDelivers, [TCPD]OutRequests, [TCPD]InSegs, [TCPD]OutSegs
10:38:2,1457.73675,1183.5588947368421,6,3.8,45.4,52.7,47.3,48.1,49.1,50.9,0.0,0.0,0.0,0.0,42.3,3.8,214.8,1.0,10.5,0.1,1.0,1.6,0.4,3573492.0,457048.0,264564.0,268756.0,1212357.6,0.0,1132202.4,100.0,13.4,13.4,13.3,12.9,13.5
10:38:3,1357.2863499999999,1143.2828157894742,6,3.8,45.0,52.3,47.5,47.2,51.3,48.6,0.0,0.0,0.0,0.0,0.8,1.9,13.2,0.7,4.9,0.2,0.7,1.2,0.2,3570912.4,459627.6,264653.6,268675.2,1210242.8,0.0,1132201.2,100.0,9.2,9.2,9.0,9.2,9.4
10:38:4,1554.94065,1196.429025,6,4.0,39.3,60.0,39.8,44.2,55.0,45.0,0.0,0.0,0.0,0.0,1.5,2.5,20.4,1.6,8.9,0.1,1.6,2.2,0.4,3568926.4,461613.6,264665.6,268128.0,1208392.0,0.0,1132204.0,100.0,5.3,5.3,4.8,5.3,5.0
10:38:5,1563.8364,1190.8577567567565,6,3.7,49.8,49.1,50.8,43.8,53.0,46.9,0.0,0.0,0.0,0.0,33.7,5.2,177.5,0.7,8.4,0.0,0.7,2.0,1.0,3574864.0,455676.0,264810.8,269047.6,1213613.2,0.0,1132208.8,100.0,11.8,11.8,11.1,11.1,10.8
10:39:0,1567.3695500000001,1193.2604736842106,6,3.8,43.8,54.8,45.1,43.4,53.9,46.1,0.0,0.0,0.0,0.0,0.6,1.7,11.6,0.6,6.6,0.0,0.6,1.3,0.2,3575355.6,455184.4,264993.6,269070.8,1213578.0,0.0,1132337.2,100.0,9.8,9.8,10.5,9.8,10.9
10:39:1,1478.136,1195.9986216216214,6,3.7,45.8,53.5,46.5,46.5,50.8,49.2,0.2,0.0,0.8,0.2,2.9,3.1,26.0,1.0,5.0,0.1,0.9,1.1,0.4,3575192.0,455348.0,264856.4,269092.4,1213466.4,0.0,1132372.0,100.0,8.0,8.0,8.9,8.0,9.3
10:39:2,1531.6377999999997,1202.717,6,3.7,45.6,53.1,46.9,45.0,53.3,46.5,0.0,0.0,0.0,0.0,0.6,1.9,12.8,0.9,8.4,0.0,0.9,2.0,0.2,3571515.2,459024.8,264850.8,268679.2,1210028.0,0.0,1132376.0,100.0,9.1,9.1,9.6,8.6,9.4
10:39:3,1642.3043999999998,1178.9418947368422,6,1.9,11.6,88.2,11.7,15.1,84.4,15.4,0.0,0.0,0.0,0.0,39.1,2.2,193.6,0.9,5.3,0.1,0.9,1.1,0.5,3568968.8,461571.2,264894.0,268445.2,1207120.8,0.0,1132378.8,100.0,2.3,2.3,2.2,2.3,2.2
10:39:4,1630.42085,1096.7285,6,0.8,17.8,79.1,20.8,12.0,85.6,14.4,0.0,0.0,0.0,0.0,0.7,3.0,17.6,0.7,5.0,0.1,0.7,0.9,0.3,3574517.6,456022.4,265310.0,268535.6,1211767.6,0.0,1132509.6,100.0,8.2,8.2,8.6,7.5,8.3
10:39:5,1493.0799499999998,1067.96775,6,0.8,12.2,84.9,14.7,14.2,83.5,16.4,0.0,0.0,0.0,0.0,3.0,4.2,32.0,0.4,3.7,0.1,0.4,0.8,0.6,3575796.4,454743.6,265304.0,269188.8,1212908.4,0.0,1132521.2,100.0,8.2,8.2,8.4,8.2,8.8
